,name
0,3D Systems Corporation
1,3M Company
2,500.com Limited
3,58.com Inc.
4,A.H. Belo Corporation
5,"A10 Networks, Inc."
6,"AAC Holdings, Inc."
7,AAR Corp.
8,"Aaron&#39;s,  Inc."
9,ABB Ltd
10,Abbott Laboratories
11,AbbVie Inc.
12,Abercrombie & Fitch Company
13,"Aberdeen Greater China Fund, Inc."
14,"Aberdeen Japan Equity Fund, Inc. "
15,"Aberdeen Singapore Fund, Inc."
16,ABM Industries Incorporated
17,Acadia Realty Trust
18,Accenture plc
19,Acco Brands Corporation
20,Accuride Corporation New
21,"Acorn International, Inc."
22,Actuant Corporation
23,Acuity Brands Inc
24,"Adams Diversified Equity Fund, Inc."
25,"Adams Natural Resources Fund, Inc."
26,Adecoagro S.A.
27,Adeptus Health Inc.
28,Advance Auto Parts Inc
29,"Advanced Drainage Systems, Inc."
30,"Advanced Semiconductor Engineering, Inc."
31,"AdvancePierre Foods Holdings, Inc."
32,Advantage Oil & Gas Ltd
33,Advent Claymore Convertible Securities and Income Fund
34,Advent Claymore Convertible Securities and Income Fund II
35,Advent/Claymore Enhanced Growth & Income Fund
36,AECOM
37,Aegean Marine Petroleum Network Inc.
38,Aegon NV
39,Aegon NV
40,Aegon NV
41,Aegon NV
42,Aegon NV
43,Aercap Holdings N.V.
44,"Aerohive Networks, Inc."
45,"Aerojet Rocketdyne Holdings, Inc. "
46,Aetna Inc.
47,"Affiliated Managers Group, Inc."
48,"Affiliated Managers Group, Inc."
49,Aflac Incorporated
50,Aflac Incorporated
51,"AG Mortgage Investment Trust, Inc."
52,"AG Mortgage Investment Trust, Inc."
53,"AG Mortgage Investment Trust, Inc."
54,AGCO Corporation
55,"Agilent Technologies, Inc."
56,Agnico Eagle Mines Limited
57,Agree Realty Corporation
58,Agria Corporation
59,Agrium Inc.
60,Air Lease Corporation
61,"Air Products and Chemicals, Inc."
62,Aircastle Limited
63,AK Steel Holding Corporation
64,Alabama Power Company
65,"Alamo Group, Inc."
66,Alamos Gold Inc.
67,"Alaska Air Group, Inc."
68,Albany International Corporation
69,Albemarle Corporation
70,Alcoa Inc.
71,Alcoa Inc.
72,Alere Inc.
73,Alere Inc.
74,"Alexander & Baldwin Holdings, Inc."
75,"Alexander&#39;s, Inc."
76,"Alexandria Real Estate Equities, Inc."
77,"Alexandria Real Estate Equities, Inc."
78,"Alexandria Real Estate Equities, Inc."
79,Alibaba Group Holding Limited
80,Alleghany Corporation
81,Allegheny Technologies Incorporated
82,Allegion plc
83,Allergan plc.
84,Allergan plc.
85,"Allete, Inc."
86,Alliance California Municipal Income Fund Inc
87,Alliance Data Systems Corporation
88,Alliance National Municipal Income Fund Inc
89,"Alliance One International, Inc."
90,Alliance World Dollar Government Fund II
91,AllianceBernstein Holding L.P.
92,Alliant Energy Corporation
93,AllianzGI Convertible & Income Fund
94,AllianzGI Convertible & Income Fund II
95,AllianzGI Diversified Income & Convertible Fund
96,AllianzGI Equity & Convertible Income Fund
97,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund"
98,"Allied World Assurance Company Holdings, AG"
99,"Allison Transmission Holdings, Inc."
100,Allstate Corporation (The)
101,Allstate Corporation (The)
102,Allstate Corporation (The)
103,Allstate Corporation (The)
104,Allstate Corporation (The)
105,Allstate Corporation (The)
106,Allstate Corporation (The)
107,Ally Financial Inc.
108,Ally Financial Inc.
109,"Alon USA Energy, Inc."
110,"Alon USA Partners, LP"
111,Alpine Global Dynamic Dividend Fund
112,Alpine Global Premier Properties Fund
113,Alpine Total Dynamic Dividend Fund
114,Altisource Residential Corporation
115,Altria Group
116,Aluminum Corporation of China Limited
117,"Amber Road, Inc."
118,Ambev S.A.
119,"AMC Entertainment Holdings, Inc."
120,Amec Plc Ord
121,Ameren Corporation
122,"Ameresco, Inc."
123,"America Movil, S.A.B. de C.V."
124,"American Assets Trust, Inc."
125,"American Axle & Manufacturing Holdings, Inc."
126,American Campus Communities Inc
127,"American Eagle Outfitters, Inc."
128,"American Electric Power Company, Inc."
129,American Equity Investment Life Holding Company
130,American Express Company
131,"American Financial Group, Inc."
132,"American Financial Group, Inc."
133,"American Financial Group, Inc."
134,"American Financial Group, Inc."
135,"American Financial Group, Inc."
136,American Homes 4 Rent
137,American Homes 4 Rent
138,American Homes 4 Rent
139,American Homes 4 Rent
140,American Homes 4 Rent
141,American Homes 4 Rent
142,"American International Group, Inc."
143,"American International Group, Inc."
144,"American Midstream Partners, LP"
145,"American Realty Investors, Inc."
146,"American Renal Associates Holdings, Inc"
147,American States Water Company
148,American Tower Corporation (REIT)
149,American Tower Corporation (REIT)
150,American Tower Corporation (REIT)
151,American Vanguard Corporation
152,American Water Works
153,"AmeriGas Partners, L.P."
154,"AMERIPRISE FINANCIAL SERVICES, INC."
155,AmerisourceBergen Corporation (Holding Co)
156,Amira Nature Foods Ltd
157,AMN Healthcare Services Inc
158,Ampco-Pittsburgh Corporation
159,Amphenol Corporation
160,"Amplify Snack Brands, inc."
161,AMREP Corporation
162,"AMTEK, Inc."
163,"AmTrust Financial Services, Inc."
164,"AmTrust Financial Services, Inc."
165,"AmTrust Financial Services, Inc."
166,"AmTrust Financial Services, Inc."
167,"AmTrust Financial Services, Inc."
168,"AmTrust Financial Services, Inc."
169,"AmTrust Financial Services, Inc."
170,Anadarko Petroleum Corporation
171,Anadarko Petroleum Corporation
172,AngloGold Ashanti Limited
173,Anheuser-Busch Inbev SA
174,Anixter International Inc.
175,Annaly Capital Management Inc
176,Annaly Capital Management Inc
177,Annaly Capital Management Inc
178,Annaly Capital Management Inc
179,Annaly Capital Management Inc
180,Antero Midstream Partners LP
181,Antero Resources Corporation
182,"Anthem, Inc."
183,"Anthem, Inc."
184,Anworth Mortgage Asset  Corporation
185,Anworth Mortgage Asset  Corporation
186,Anworth Mortgage Asset  Corporation
187,Anworth Mortgage Asset  Corporation
188,Aon plc
189,Apache Corporation
190,Apartment Investment and Management Company
191,Apartment Investment and Management Company
192,Apollo Commercial Real Estate Finance
193,Apollo Commercial Real Estate Finance
194,"Apollo Global Management, LLC"
195,Apollo Investment Corporation
196,Apollo Investment Corporation
197,"Apollo Residential Mortgage, Inc."
198,"Apollo Residential Mortgage, Inc."
199,Apollo Senior Floating Rate Fund Inc.
200,Apollo Tactical Income Fund Inc.
201,"Apple Hospitality REIT, Inc."
202,"Applied Industrial Technologies, Inc."
203,"AptarGroup, Inc."
204,"Aqua America, Inc."
205,Aramark
206,Arbor Realty Trust
207,Arbor Realty Trust
208,Arbor Realty Trust
209,Arbor Realty Trust
210,Arbor Realty Trust
211,"ARC Document Solutions, Inc."
212,Arc Logistic Partners LP
213,ArcelorMittal
214,Arch Capital Group Ltd.
215,Archer-Daniels-Midland Company
216,"Archrock, Inc."
217,Arcos Dorados Holdings Inc.
218,Ardmore Shipping Corporation
219,Ares Capital Corporation
220,Ares Capital Corporation
221,Ares Commercial Real Estate Corporation
222,"Ares Dynamic Credit Allocation Fund, Inc."
223,Ares Management L.P.
224,Ares Management L.P.
225,"Argan, Inc."
226,"Arista Networks, Inc."
227,Arlington Asset Investment Corp
228,Arlington Asset Investment Corp
229,Arlington Asset Investment Corp
230,"Armada Hoffler Properties, Inc."
231,"ARMOUR Residential REIT, Inc."
232,"ARMOUR Residential REIT, Inc."
233,"ARMOUR Residential REIT, Inc."
234,"Armstrong Flooring, Inc."
235,Armstrong World Industries Inc
236,"Arrow Electronics, Inc."
237,Arthur J. Gallagher & Co.
238,Artisan Partners Asset Management Inc.
239,ASA Gold and Precious Metals Limited
240,Asbury Automotive Group Inc
241,"Ashford Hospitality Prime, Inc."
242,"Ashford Hospitality Prime, Inc."
243,Ashford Hospitality Trust Inc
244,Ashford Hospitality Trust Inc
245,Ashford Hospitality Trust Inc
246,Ashford Hospitality Trust Inc
247,Ashford Hospitality Trust Inc
248,Ashland Inc.
249,"Asia Pacific Fund, Inc. (The)"
250,"Asia Tigers Fund, Inc. (The)"
251,"Aspen Aerogels, Inc."
252,Aspen Insurance Holdings Limited
253,Aspen Insurance Holdings Limited
254,Aspen Insurance Holdings Limited
255,Aspen Insurance Holdings Limited
256,Associated Banc-Corp
257,Associated Banc-Corp
258,Associated Banc-Corp
259,"Associated Capital Group, Inc."
260,"Assurant, Inc."
261,Assured Guaranty Ltd.
262,Assured Guaranty Ltd.
263,Assured Guaranty Ltd.
264,Assured Guaranty Ltd.
265,Astoria Financial Corporation
266,Astoria Financial Corporation
267,Astrazeneca PLC
268,At Home Group Inc.
269,AT&T Inc.
270,Atento S.A.
271,Atkore International Group Inc.
272,Atlantic Power Corporation
273,Atmos Energy Corporation
274,"Atwood Oceanics, Inc."
275,AU Optronics Corp
276,Autohome Inc.
277,"Autoliv, Inc."
278,"AutoNation, Inc."
279,"AutoZone, Inc."
280,"AvalonBay Communities, Inc."
281,"Avangrid, Inc."
282,Avenue Income Credit Strategies Fund
283,Avery Dennison Corporation
284,AVG Technologies N.V.
285,Avianca Holdings S.A.
286,Avista Corporation
287,Aviva plc
288,Aviva plc
289,"Avnet, Inc."
290,"Avon Products, Inc."
291,AVX Corporation
292,Axalta Coating Systems Ltd.
293,Axiall Corporation
294,Axis Capital Holdings Limited
295,Axis Capital Holdings Limited
296,Axis Capital Holdings Limited
297,AZZ Inc.
298,"B&G Foods, Inc."
299,Babcock
300,Babson Capital Corporate Investors
301,Babson Capital Global Short Duration High Yield Fund
302,Babson Capital Participation Investors
303,"Badger Meter, Inc."
304,Baker Hughes Incorporated
305,BalckRock Taxable Municipal Bond Trust
306,Ball Corporation
307,Baltimore Gas & Electric Company
308,"Banc of California, Inc."
309,"Banc of California, Inc."
310,"Banc of California, Inc."
311,"Banc of California, Inc."
312,Banco Bilbao Viscaya Argentaria S.A.
313,Banco Bradesco Sa
314,Banco Bradesco Sa
315,Banco De Chile
316,"Banco Latinoamericano de Comercio Exterior, S.A."
317,Banco Santander Brasil SA
318,Banco Santander Chile
319,"Banco Santander, S.A."
320,"Banco Santander, S.A."
321,"Banco Santander, S.A."
322,"Banco Santander, S.A."
323,"Banco Santander, S.A."
324,BanColombia S.A.
325,"BancorpSouth, Inc."
326,Bank of America Corporation
327,Bank of America Corporation
328,Bank of America Corporation
329,Bank of America Corporation
330,Bank of America Corporation
331,Bank of America Corporation
332,Bank of America Corporation
333,Bank of America Corporation
334,Bank of America Corporation
335,Bank of America Corporation
336,Bank of America Corporation
337,Bank of America Corporation
338,Bank of America Corporation
339,Bank of America Corporation
340,Bank of America Corporation
341,Bank of America Corporation
342,Bank of America Corporation
343,Bank of Hawaii Corporation
344,Bank Of Montreal
345,Bank Of New York Mellon Corporation (The)
346,Bank Of New York Mellon Corporation (The)
347,Bank of Nova Scotia (The)
348,"Bankrate, Inc."
349,"BankUnited, Inc."
350,Barclays PLC
351,Barclays PLC
352,Barclays PLC
353,Barclays PLC
354,"Barnes & Noble Education, Inc"
355,"Barnes & Noble, Inc."
356,"Barnes Group, Inc."
357,"Barracuda Networks, Inc."
358,Barrick Gold Corporation
359,"Basic Energy Services, Inc."
360,Baxter International Inc.
361,Baytex Energy Corp
362,BB&T Corporation
363,BB&T Corporation
364,BB&T Corporation
365,BB&T Corporation
366,BB&T Corporation
367,BB&T Corporation
368,BBVA Banco Frances S.A.
369,BBX Capital Corporation
370,"BCE, Inc."
371,"Beazer Homes USA, Inc."
372,"Becton, Dickinson and Company"
373,Belden Inc
374,Belden Inc
375,Bellatrix Exploration Ltd
376,Belmond Ltd.
377,"Bemis Company, Inc."
378,"Benchmark Electronics, Inc."
379,Berkshire Hathaway Inc.
380,Berkshire Hathaway Inc.
381,"Berkshire Hills Bancorp, Inc."
382,"Best Buy Co., Inc."
383,"BGC Partners, Inc."
384,BHP Billiton Limited
385,BHP Billiton plc
386,"Big Lots, Inc."
387,Biglari Holdings Inc.
388,Bill Barrett Corporation
389,BioAmber Inc.
390,BioAmber Inc.
391,"Bio-Rad Laboratories, Inc."
392,"Bio-Rad Laboratories, Inc."
393,Bitauto Holdings Limited
394,Black Hills Corporation
395,Black Hills Corporation
396,"Black Knight Financial Services, Inc."
397,"Black Stone Minerals, L.P."
398,Blackrock California Municipal 2018 Term Trust
399,BlackRock California Municipal Income Trust
400,Blackrock Capital and Income Strategies Fund Inc
401,Blackrock Core Bond Trust
402,"Blackrock Corporate High Yield Fund, Inc."
403,BlackRock Credit Allocation Income Trust
404,"Blackrock Debt Strategies Fund, Inc."
405,Blackrock Defined Opportunity Credit Trust
406,BlackRock Energy and Resources Trust
407,Blackrock Enhanced Equity Dividend Trust
408,"Blackrock Enhanced Government Fund, Inc"
409,Blackrock Floating Rate Income Strategies Fund Inc
410,Blackrock Florida Municipal 2020 Term Trust
411,Blackrock Global
412,Blackrock Global
413,Blackrock Health Sciences Trust
414,BlackRock Income Investment Quality Trust
415,BlackRock Income Trust Inc. (The)
416,"BLACKROCK INTERNATIONAL, LTD."
417,BlackRock Investment Quality Municipal Trust Inc. (The)
418,BlackRock Long-Term Municipal Advantage Trust
419,BlackRock Multi-Sector Income Trust
420,Blackrock Muni Intermediate Duration Fund Inc
421,Blackrock Muni New York Intermediate Duration Fund Inc
422,"Blackrock MuniAssets Fund, Inc."
423,Blackrock Municipal 2018 Term Trust
424,Blackrock Municipal 2020 Term Trust
425,Blackrock Municipal Bond Trust
426,BlackRock Municipal Income Investment Trust
427,Blackrock Municipal Income Quality Trust
428,BlackRock Municipal Income Trust
429,BlackRock Municipal Target Term Trust Inc. (The)
430,"Blackrock MuniEnhanced Fund, Inc."
431,"Blackrock MuniHoldings California Quality Fund,  Inc."
432,"Blackrock MuniHoldings Fund II, Inc."
433,"Blackrock MuniHoldings Fund, Inc."
434,Blackrock MuniHoldings Investment Quality Fund
435,"Blackrock MuniHoldings New Jersey Insured Fund, Inc."
436,"Blackrock MuniHoldings New York Quality Fund, Inc."
437,"Blackrock MuniHoldings Quality Fund II, Inc."
438,"Blackrock MuniHoldings Quality Fund, Inc."
439,"Blackrock MuniVest Fund II, Inc."
440,"Blackrock MuniYield California Fund, Inc."
441,"Blackrock MuniYield California Insured Fund, Inc."
442,"Blackrock MuniYield Fund, Inc."
443,Blackrock MuniYield Investment Fund
444,Blackrock MuniYield Investment QualityFund
445,"Blackrock MuniYield Michigan Quality Fund, Inc."
446,"Blackrock MuniYield New Jersey Fund, Inc."
447,"Blackrock MuniYield New York Quality Fund, Inc."
448,Blackrock MuniYield Pennsylvania Quality Fund
449,"Blackrock MuniYield Quality Fund II, Inc."
450,"Blackrock MuniYield Quality Fund III, Inc."
451,"Blackrock MuniYield Quality Fund, Inc."
452,BlackRock New Jersey Municipal Income Trust
453,BlackRock New York Investment Quality Municipal Trust Inc. (Th
454,Blackrock New York Municipal 2018 Term Trust
455,Blackrock New York Municipal Bond Trust
456,Blackrock New York Municipal Income Quality Trust
457,BlackRock Resources
458,BlackRock Science and Technology Trust
459,BlackRock Strategic Municipal Trust Inc. (The)
460,BlackRock Utility and Infrastructure Trust
461,"BlackRock, Inc."
462,Blackstone / GSO Strategic Credit Fund
463,Blackstone GSO Long Short Credit Income Fund
464,Blackstone GSO Senior Floating Rate Term Fund
465,Blue Capital Reinsurance Holdings Ltd.
466,BlueLinx Holdings Inc.
467,Boardwalk Pipeline Partners L.P.
468,Boeing Company (The)
469,"Boise Cascade, L.L.C."
470,"Bonanza Creek Energy, Inc."
471,"Boot Barn Holdings, Inc."
472,Booz Allen Hamilton Holding Corporation
473,BorgWarner Inc.
474,"Boston Beer Company, Inc. (The)"
475,"Boston Properties, Inc."
476,"Boston Properties, Inc."
477,Boston Scientific Corporation
478,"Box, Inc."
479,Boyd Gaming Corporation
480,BP p.l.c.
481,BP Prudhoe Bay Royalty Trust
482,BPC Acquisition Corp
483,Brady Corporation
484,Brandywine Realty Tr
485,Brandywine Realty Trust
486,Brasilagro Cia Brasileira De Propriedades Agricolas
487,Braskem S.A.
488,BRF S.A.
489,"Bridgepoint Education, Inc."
490,Briggs & Stratton Corporation
491,Bright Horizons Family Solutions Inc.
492,"Brinker International, Inc."
493,Brink&#39;s Company (The)
494,Bristol-Myers Squibb Company
495,Bristow Group Inc
496,Brixmor Property Group Inc.
497,"Broadridge Financial Solutions, Inc."
498,Brookdale Senior Living Inc.
499,Brookfield Asset Management Inc
500,Brookfield Business Partners L.P.
501,Brookfield Canada Office Properties
502,Brookfield DTLA Inc.
503,Brookfield Global Listed Infrastructure Income Fund
504,Brookfield High Income Fund Inc.
505,Brookfield Infrastructure Partners LP
506,Brookfield Mortgage Opportunity Income Fund Inc.
507,Brookfield Property Partners L.P.
508,Brookfield Renewable Partners L.P.
509,Brookfield Total Return Fund Inc.
510,"Brown & Brown, Inc."
511,Brown Forman Corporation
512,Brown Forman Corporation
513,BRT Realty Trust
514,Brunswick Corporation
515,BT Group plc
516,Buckeye Partners L.P.
517,"Buckle, Inc. (The)"
518,Buenaventura Mining Company Inc.
519,"Build-A-Bear Workshop, Inc."
520,Bunge Limited
521,"Burlington Stores, Inc."
522,"BWX Technologies, Inc."
523,"C.R. Bard, Inc."
524,CABCO Series 2004-101 Trust
525,CABCO Series 2004-101 Trust
526,Cabela&#39;s Inc
527,"Cable One, Inc."
528,Cabot Corporation
529,Cabot Oil & Gas Corporation
530,"CACI International, Inc."
531,CAE Inc
532,"CAI International, Inc."
533,"CalAtlantic Group, Inc."
534,"Caleres, Inc."
535,Calgon Carbon Corporation
